Date,Open,High,Low,Close,Volume
05/24/2021,"175.85","188.46","173.35","180.01","4,664,348"
05/21/2021,"171.00","179.24","170.33","176.79","3,654,683"
05/20/2021,"170.79","174.91","166.90","170.49","2,478,168"
05/19/2021,"171.99","178.98","164.15","168.83","4,825,905"
05/18/2021,"174.54","189.20","168.27","180.67","7,738,717"
05/17/2021,"159.85","182.50","159.00","180.60","7,372,763"
05/14/2021,"160.00","166.47","156.22","159.92","4,293,530"
05/13/2021,"147.44","169.95","146.43","164.50","8,873,487"
05/12/2021,"145.70","150.50","142.23","144.79","2,731,510"
05/11/2021,"137.00","150.50","136.50","146.92","4,684,584"
05/10/2021,"161.31","161.59","143.00","143.22","4,806,685"
05/07/2021,"160.11","167.41","157.50","161.11","2,934,624"
05/06/2021,"160.86","164.72","155.60","161.01","2,942,802"
05/05/2021,"161.83","165.50","158.33","159.48","2,805,409"
05/04/2021,"159.00","161.49","151.80","160.73","4,007,512"
05/03/2021,"177.49","177.49","159.61","162.20","5,261,019"
04/30/2021,"175.00","183.80","172.70","173.59","4,433,565"
04/29/2021,"176.56","180.86","170.75","176.19","3,760,250"
04/28/2021,"172.10","181.98","166.03","178.58","5,788,938"
04/27/2021,"183.55","188.00","173.17","177.77","8,932,718"
04/26/2021,"150.98","174.68","148.76","168.93","10,532,110"
04/23/2021,"149.00","153.66","144.70","151.18","4,042,057"
04/22/2021,"159.10","159.10","146.86","151.17","4,345,809"
04/21/2021,"158.40","162.98","155.92","158.51","3,812,845"
04/20/2021,"164.14","164.89","153.36","158.53","4,658,608"
04/19/2021,"171.80","175.20","162.33","164.37","10,520,210"
04/16/2021,"156.00","160.20","151.25","154.69","5,214,710"
04/15/2021,"163.00","166.25","152.80","156.44","7,856,780"
04/14/2021,"143.57","174.09","143.00","166.53","21,138,141"
04/13/2021,"141.88","145.38","132.00","140.99","6,806,868"
04/12/2021,"158.11","163.90","135.01","141.09","16,683,600"
04/09/2021,"169.70","171.58","153.00","158.36","9,462,380"
04/08/2021,"185.88","185.88","164.30","170.26","10,047,390"
04/07/2021,"183.22","184.50","176.11","177.97","4,768,261"
04/06/2021,"185.21","192.00","183.56","184.50","6,218,318"
04/05/2021,"171.00","195.00","164.81","186.95","14,070,490"
04/01/2021,"193.36","196.97","183.60","191.45","9,334,345"
03/31/2021,"197.50","199.46","187.11","189.82","8,393,834"
03/30/2021,"187.50","204.30","182.00","194.46","17,094,920"
03/29/2021,"180.75","193.92","173.51","181.30","10,042,180"
03/26/2021,"197.68","218.93","163.26","181.00","37,430,672"
